,count,values
ClinicalDocument.component.structuredBody.component.section.entry.encounter.templateId.root,2,"['2.16.840.1.113883.10.20.22.4.40', '2.16.840.1.113883.10.20.22.4.49']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.referenceRange.observationRange.value.low.value,2,"['150', '4.3']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.name.@value,2,"['Community Health and Hospitals', 'Good Health Clinic']"
ClinicalDocument.component.structuredBody.component.section.text.content.ID,1,"['immunSect', 'problems']"
ClinicalDocument.componentOf.encompassingEncounter.responsibleParty.assignedEntity.assignedPerson.name.family.@value,1,['Seven']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.value.originalText.reference.value,2,"['#reaction1', '#reaction2', '#reaction3']"
ClinicalDocument.participant.associatedEntity.associatedPerson.name.given.@value,2,"['Abigail', 'Frank', 'Ralph']"
ClinicalDocument.informant.relatedEntity.code.code,2,['SPS']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.effectiveTime.low.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.addr.streetAddressLine.@value,1,['1002 Healthcare Dr']
ClinicalDocument.componentOf.encompassingEncounter.location.healthCareFacility.id.root,1,['2.16.840.1.113883.4.6']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.codeSystemName,1,['CPT']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.code.codeSystem,2,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.id.root,1,['eb936010-7b17-11db-9fe1-0800200c9a68']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.value.displayName,2,['Wheezing']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.entryRelationship.act.templateId.root,1,['2.16.840.1.113883.10.20.22.4.20']
ClinicalDocument.component.structuredBody.component.section.entry.observation.value.type,2,"['CD', 'ST']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.effectiveTime.low.value,1,['20120813']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.statusCode.code,1,['completed']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.administrationUnitCode.codeSystemName,2,['NCI Thesaurus']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.representedOrganization.telecom.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.templateId.root,1,"['2.16.840.1.113883.10.20.22.4.20', '2.16.840.1.113883.10.20.22.4.80']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.author.assignedAuthor.id.root,1,['2a620155-9d11-439e-92b3-5d9815fe4de8']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.referenceRange.observationRange.value.high.value,2,"['10.8', '350']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.classCode,1,['SDLOC']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.representedOrganization.addr.nullFlavor,1,['UNK']
ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.postalCode.@value,2,"['02368', '97006']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.code,1,['FTH']
ClinicalDocument.documentationOf.serviceEvent.performer.functionCode.displayName,1,['Primary Care Provider']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.moodCode,2,['EVN']
ClinicalDocument.recordTarget.patientRole.addr.country.@value,2,['US']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.targetSiteCode.displayName,1,['Lower Respiratory Tract Structure']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.code.code,2,"['11323-3', '33999-4', '397659008', '409586006', '445518008', 'SEV']"
ClinicalDocument.recordTarget.patientRole.patient.languageCommunication.preferenceInd.value,2,['true']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.family.@value,1,['Seven']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.codeSystemName,2,['RxNorm']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.performer.assignedEntity.representedOrganization.addr.nullFlavor,2,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.priorityCode.displayName,1,['Callback results']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.playingEntity.name.@value,1,['Community Health and Hospitals']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.root,2,"['2a620155-9d11-439e-92b3-5d9815ff4de8', '9a6d1bac-17d3-4195-89a4-1121bc809b4d']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.methodCode.nullFlavor,2,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.classCode,2,['SBADM']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.telecom.use,1,['WP']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.codeSystem,2,"['2.16.840.1.113883.6.59', '2.16.840.1.113883.6.88']"
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.postalCode.@value,1,['97266']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.telecom.use,1,"['HP', 'WP']"
ClinicalDocument.inFulfillmentOf.order.classCode,1,['ACT']
ClinicalDocument.participant.associatedEntity.addr.streetAddressLine.@value,2,"['1357 Amber Drive', '17 Daws Rd.']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.translation.codeSystem,1,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.performer.assignedEntity.id.extension,1,['2981823']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.effectiveTime.high.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.repeatNumber.value,2,['1']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.id.root,1,['2.16.840.1.113883.19.5']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.participant.participantRole.templateId.root,1,['2.16.840.1.113883.10.20.22.4.24']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.product.manufacturedProduct.manufacturedMaterial.code.translation.codeSystem,1,['2.16.840.1.113883.6.88']
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.participantRole.addr.city.@value,1,['Blue Bell']
ClinicalDocument.authenticator.signatureCode.code,2,['S']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.representedOrganization.addr.city.@value,1,['Portland']
ClinicalDocument.recordTarget.patientRole.patient.guardian.code.displayName,2,['Grandfather']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.code,1,"['22298006', '46635009']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.routeCode.codeSystemName,1,['NCI Thesaurus']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.statusCode.code,2,['completed']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.addr.streetAddressLine.@value,1,['1002 Healthcare Dr']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.code.code,2,['409073007']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.addr.postalCode.@value,1,['97266']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.precondition.criterion.code.code,1,['ASSERTION']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.statusCode.code,1,"['active', 'completed']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.prefix.@value,1,['Dr.']
ClinicalDocument.component.structuredBody.component.section.entry.observation.targetSiteCode.codeSystem,1,['2.16.840.1.113883.6.96']
ClinicalDocument.legalAuthenticator.assignedEntity.addr.city.@value,2,"['Burlington', 'Portland']"
ClinicalDocument.participant.associatedEntity.associatedPerson.name.family.@value,2,"['Jones', 'Ruth']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.templateId.root,2,"['2.16.840.1.113883.10.20.22.4.14', '2.16.840.1.113883.10.20.22.4.41']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.addr.state.@value,1,['OR']
ClinicalDocument.component.structuredBody.component.section.entry.observation.effectiveTime.high.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.telecom.nullFlavor,2,['UNK']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.given.@value,1,['Henry']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.value,2,"['19981215', '199911', '20120401', '20120510']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.addr.city.@value,2,"['Blue Bell', 'Portland']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.templateId.root,1,['2.16.840.1.113883.10.20.22.4.32']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.codeSystemName,1,['RxNorm']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.referenceRange.observationRange.value.low.unit,2,['10+3/ul']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.time.nullFlavor,2,['UNK']
ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.country.@value,2,['US']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.moodCode,2,['EVN']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.code,2,"['09', '109', '111', '573621']"
ClinicalDocument.componentOf.encompassingEncounter.code.displayName,2,"['Evaluation and Management', 'Pnuemonia']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.observation.classCode,1,['OBS']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.code.code,2,"['404684003', 'PATOBJ']"
ClinicalDocument.recordTarget.patientRole.patient.guardian.code.codeSystemName,2,['HL7 Role code']
ClinicalDocument.legalAuthenticator.assignedEntity.assignedPerson.name.family.@value,2,['Seven']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.code.codeSystemName,2,"['HL7 ActNoImmunizationReason', 'SNOMED CT']"
ClinicalDocument.informationRecipient.intendedRecipient.informationRecipient.name.given.@value,2,['Henry']
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.representedOrganization.addr.state.@value,1,['OR']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.participant.typeCode,1,['CSM']
ClinicalDocument.dataEnterer.assignedEntity.addr.state.@value,2,"['MA', 'OR']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit,1,"['mcg', 'mg/actuat']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.telecom.nullFlavor,2,['UNK']
ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.id.root,2,"['2.16.840.1.113883.19.5', '2.16.840.1.113883.4.6']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.statusCode.code,1,['completed']
ClinicalDocument.component.structuredBody.component.section.entry.act.performer.assignedEntity.addr.postalCode.@value,1,['02368']
ClinicalDocument.dataEnterer.assignedEntity.assignedPerson.name.given.@value,2,"['Henry', 'Mary']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.codeSystemName,2,['CVX']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.code.codeSystem,2,['2.16.840.1.113883.5.4']
ClinicalDocument.authenticator.assignedEntity.id.root,2,"['2.16.840.1.113883.19', '2.16.840.1.113883.4.6']"
ClinicalDocument.inFulfillmentOf.order.moodCode,1,['RQO']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.precondition.templateId.root,1,['2.16.840.1.113883.10.20.22.4.25']
ClinicalDocument.recordTarget.patientRole.patient.raceCode.displayName,2,['White']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.code,2,"['168731009', '274025005', '310634005']"
ClinicalDocument.documentationOf.serviceEvent.code.codeSystemName,1,['SNOMED-CT']
ClinicalDocument.component.structuredBody.component.section.entry.observation.effectiveTime.value,1,['20110203']
