name,id,subject,keywords,API_type,MD_standards
Goddard Earth Sciences Data and Information Services Center,FAIRsharing_doi:10.25504/FAIRsharing.7388wt,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#31302 Oceanography#34 Geosciences (including Geography),atmospheric composition and dynamics#earth science data#hydrology#precipitation (meteorology),FTP#NetCDF#OpenDAP,
Données Québec,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences,business#culture#education#employment#environment#family#finance#health#justice#natural resources#public safety#town,REST,Dublin Core
Hazardous Substance Data Bank,RRID:SCR_002374#RRID:nif-0000-21201,2 Life Sciences#205 Medicine#20509 Pharmacology#20510 Toxicology and Occupational Medicine#22 Medicine,environmental health#human#pharmacology#public health#substance#toxicology,REST,
Life Science Database Archive,FAIRsharing_doi:10.25504/FAIRsharing.dq46p7,2 Life Sciences#201 Basic Biological and Medical Research#21 Biology,DNA sequenzing#drugs#experimental data#gene#molecular data#pathways#pharmacology,,Repository-Developed Metadata Schemas
FAIRDOMHub,FAIRsharing_doi:10.25504/fairsharing.nnvcr9#RRID:SCR_021119,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20103 Cell Biology#20104 Structural Biology#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine",bioinformatics#biotechnology#metabolomics#microbiology#molecular biology#proteomics#systems biology#transcriptomics,,ISA-Tab
Pacific Climate Impacts Consortium Data Portal,,"3 Natural Sciences#303 Physical and Theoretical Chemistry#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#31302 Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",BC station data#daily gridded meteorological datasets#downscaled climate scenarios#future-shifted weather files#gridded and station hydrologic model outputs#high resolution PRISM climatology,NetCDF,
Jean Paul – Sämtliche Briefe digital,https://doi.org/10.5281/zenodo.4155301,1 Humanities and Social Sciences#105 Literary Studies#10502 Modern German Literature#10504 General and Comparative Literature and Cultural Studies#11 Humanities,correspondence#digital edition#romanticism#scholarly edition,other#other#other,
RESA,,3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#317 Geography#34 Geosciences (including Geography),"agriculture, soils#earth observation#ecosystems#forestry#land cover#land use management#observation#satellites#vegetation",,
UdS Fedora Commons Repository,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,Negra-Corpus#archive#computational linguistics#database of voices#humanitites#language research tool#language resources#linguistic data#multilingual corpora#psycholinguistics#social sciences#standards#syntactic annotation,OAI-PMH#OAI-PMH,Dublin Core
Ontario Reptile and Amphibian Atlas,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",amphibian#biodiversity#biogeography#frog#herpetofauna#lizard#nature study#reptile#salamander#snake#toads#turtle,,
Queen's University Dataverse,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,Canada#multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
European Election Database,,1 Humanities and Social Sciences#111 Social Sciences#11104 Political Science#12 Social and Behavioural Sciences,Europe#elections#electoral systems#political parties#statistics,other,DDI - Data Documentation Initiative
Canadian Disaster Database,FAIRsharing_doi:10.25504/FAIRsharing.ea287c,"1 Humanities and Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",Arson#calamity#catastrophe#civil incident#conflicts#earthquake#epidemic#explosion#fire#flood#hazardous chemicals#health#hijacking#historical events#infrastructure failure#natural disasters#safety#space event#terrorist#transportation accident,,
GLUES Geoportal,biodbcore-001749,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#317 Geography#34 Geosciences (including Geography)",agriculture#biodiversity#climate change#economic change#economics#ecosystem#forestry#geography#geosciences#horticulture medicine#land use#veterinary medicine#water resources,other#other,
Scripps Institute of Oceanography Explorer,biodbcore-001636,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),marine biology#seamounts,REST,Repository-Developed Metadata Schemas
GabiPD,MIR:00000164#OMICS_03230#RRID:SCR_002755#RRID:nif-0000-02866,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,"gene expression#metabolomics#molecular plant physiology,#plant genomics#proteomics#proteomics#transcriptomics",,
Netherlands Trial Register,RRID:SCR_010234#RRID:nlx_156848#biodbcore-001435,"2 Life Sciences#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#22 Medicine",COVID-19#clinical trial,,Repository-Developed Metadata Schemas
Forschungsdatenzentrum der Bundesagentur für Arbeit im Institut für Arbeitsmarkt und Berufsforschung,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#12 Social and Behavioural Sciences,employment#social security,,
ACSS Dataverse,,1 Humanities and Social Sciences,education#international studies#political science#regional studies#sociology,,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
Global Precipitation Climatology Centre,,3 Natural Sciences#313 Atmospheric Science and Oceanography#34 Geosciences (including Geography),agricultural#arctic#atmospheric chemistry#biometeorology#hydrometeorology#marine meteorology#meteorology,FTP,DataCite Metadata Schema#ISO 19115
Nordicana D,,3 Natural Sciences#34 Geosciences (including Geography),ADAPT#IPY-ArcticWOLVES#SILA Network#climate warming#ecosystems#environmental change#geosystems#northern regions,,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115
Southern California Earthquake Data Center,RRID:SCR_000663#RRID:nlx_154718#biodbcore-001719,3 Natural Sciences#313 Atmospheric Science and Oceanography#314 Geology and Palaeontology#34 Geosciences (including Geography),California#earthquake#geophysics#hazard#seismology,other,
Fungal Genetics Stock Center,RRID:SCR_008143#RRID:nif-0000-20977,"2 Life Sciences#201 Basic Biological and Medical Research#202 Plant Sciences#20207 Plant Genetics#204 Microbiology, Virology and Immunology#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20503 Human Genetics#21 Biology#22 Medicine",Aspergillus#Fusarium#Magnaporthe#Neurospora#fungi#genes#genetics#plasmids#strains,,
Saccharomyces Genome Database,FAIRsharing_doi:10.25504/FAIRsharing.pzvw40#RRID:OMICS_01661#RRID:SCR_004694#RRID:nif-0000-03456,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,genetics#pathway#predicted sequence#protein structure#yeast genome,REST#other,
megx.net,OMICS_15635#RRID:SCR_000738#RRID:nif-0000-03109,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#318 Water Research#34 Geosciences (including Geography)",Global Ocean Sampling GOS#archaeal genomes#marine bacterial#marker genes#metagenomes#microbiology#phage Genomes#prokaryotic Genomes,,
NIRD Research Data Archive,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,DataCite Metadata Schema#Dublin Core
GeneMANIA,RRID:SCR_005709#RRID:nlx_149159,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology,gene ontology#metabolites#protein#proteomics,,
Land Information New Zealand Data Service,,"3 Natural Sciences#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#318 Water Research#34 Geosciences (including Geography)",New Zealand#maps,other,Dublin Core#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115
COSYNA Data web portal,FAIRsharing_doi:10.25504/FAIRsharing.f7e006,3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#34 Geosciences (including Geography),AUV#Geodata#North Sea#arctic seas#buoys#coastal research#ferrybox#forecasts#measurements#oberservation#offshore stations#satellite Remote Sensing#sediment#series of various oceanographic parameters,,ISO 19115
Research Data On Gender Relations In Academia,,1 Humanities and Social Sciences#109 Education Sciences#10903 Research on Socialization and Educational Institutions and Professions#111 Social Sciences#11102 Empirical Social Research#12 Social and Behavioural Sciences,discrimination#equality policy in science#gender relations in academia#gender relations in science#gender studies#women in science,,DDI - Data Documentation Initiative
Surveillance Epidemiology of Coronavirus (COVID19) Under Research Exclusion,biodbcore-001439,"2 Life Sciences#201 Basic Biological and Medical Research#204 Microbiology, Virology and Immunology#20404 Virology#205 Medicine#20515 Gastroenterology, Metabolism#21 Biology#22 Medicine",COVID-19#inflammatory bowel disease#risk calculator,,
META-SHARE,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,corpora#lexica#speech,,
immuneACCESS,,"2 Life Sciences#204 Microbiology, Virology and Immunology#20405 Immunology#205 Medicine#20518 Rheumatology, Clinical Immunology, Allergology#21 Biology#22 Medicine",BMT#BMT / Stem Cell Transplant#HIV#Immunocompetence#MRD#MS#RA#T1D#TIL#adoptive T Cell therapy#autoimmune disorders#cancer#cancer immunotherapy#dermatology#gastrointestinal#infectious disease#organ transplant#response to Therapeutic Agent#vaccine efficacy,REST,
IHEC Data Portal,FAIRsharing_doi:10.25504/FAIRsharing.6f54c5#RRID:SCR_014625,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#21 Biology,epigenetics#epigenomics#health#human#mouse,other,
DARIAH-DE Repository,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities",digital humanities,OAI-PMH#REST,Dublin Core
Online Mendelian Inheritance in Man,FAIRsharing_doi:10.25504/FAIRsharing.9qkaz9#RRID:OMICS_00278#RRID:SCR_006437#RRID:nif-0000-03216,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,enetic loci#genetic medicine#genetic phenotypes#gold standard#human genes#mutation#ontology#phenotype,other,
CARMEN,RRID:SCR_002795#RRID:nif-0000-00442,2 Life Sciences#205 Medicine#20504 Physiology#206 Neurosciences#22 Medicine,Central Nervous System CNS#electrophysiology#neural activity#neuroinformatics#neurophysiology#virtual laboratory,other,
Cancer GenomeAtlas Data Portal,FAIRsharing_doi:10.25504/FAIRsharing.m8wewa#RRID:SCR_003193#RRID:nlx_156913,2 Life Sciences#201 Basic Biological and Medical Research#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,DNA#RNA#bioinformatics#cancer detection#cancer prevention#disease#genomics,,ABCD - Access to Biological Collection Data
SWISS-MODEL Repository,FAIRsharing_doi:10.25504/FAIRsharing.vxz9pn#OMICS_03965#RRID:SCR_013032#RRID:nif-0000-03522,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#204 Microbiology, Virology and Immunology#20404 Virology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",Bakers Yeast#COVID-19#Caenorhabditis elegans#Caulobacter crescentus#Escherichia coli#Fruit Fly#Mouse-ear cress#Mycobacterium tuberculosis#Plasmodium falciparum#Pseudomonas aeruginosa#Staphylococcus aureus#macromolecular structure data,other,
DataFirst,,1 Humanities and Social Sciences#111 Social Sciences#112 Economics#11202 Economic and Social Policy#12 Social and Behavioural Sciences,South Africa#administrative data#demographic survey#education#health#microdata analysis#national census#politics#population#social behaviour#survey data,,DDI - Data Documentation Initiative#Dublin Core
Global Change Master Directory,,3 Natural Sciences#34 Geosciences (including Geography),atmospheric science#biology#ecology#geology#global changes#global warming#human dimensions of climate change#human health#hydrology#oceanography,REST#other,DIF - Directory Interchange Format#Dublin Core#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115
HELIX DATA,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences#2 Life Sciences#3 Natural Sciences#34 Geosciences (including Geography),FAIR#business#environment#geology#geospatial information systems#journalism,,
Indian Space Science Data Center,,"3 Natural Sciences#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",astronautics#astronomy#astrophysics#deep space missions#ground station#low earth orbit#mars#moon#satellite launching ships#space#spacecraft,,
eBird,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",bird count#bird sightings#birds,other,Repository-Developed Metadata Schemas
Project Data Sphere,RRID:SCR_003726#RRID:nlx_157911,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20514 Hematology, Oncology, Transfusion Medicine#20531 Radiation Oncology and Radiobiology#22 Medicine",cancer#clinical#data sharing#oncology#patients#studies#treatment#trials#tumor,,
GePaRD,,"2 Life Sciences#204 Microbiology, Virology and Immunology#20405 Immunology#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20502 Public Health, Health Services Research, Social Medicine#20509 Pharmacology#21 Biology#22 Medicine",drug dispensation#drug safety#outpatient and inpatient diagnoses#outpatient and inpatient services#statutory health insurance (SHI) providers#vaccine safety,,
MPDS,,3 Natural Sciences#307 Condensed Matter Physics#31 Chemistry#32 Physics#4 Engineering Sciences#406 Materials Science#41 Mechanical and industrial Engineering#43 Materials Science and Engineering,PAULING FILE#crystalline structures#crystallography#materials platform#phase diagrams#physical properties,REST,CIF - Crystallographic Information Framework
Academic Seismic Portal at LDEO,RRID:SCR_002194#RRID:nlx_154704,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),R/V Palmer#biosphere#crustal composition#earthquake#hydrothermy#ocean circulation#seafloor topography#tectronic activity#volcanic activity#water,,ISO 19115
Growing Up Today Study,,"2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",depression#diet & nutrition#disease#environmental factors#gender#genetics#health#medical prevention#physical activity#sexual orientation,,
Alaska Climate Research Center,RRID:SCR_000913#RRID:nlx_157755,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#317 Geography#31702 Human Geography#34 Geosciences (including Geography),climatology#earthquake#forecasts#ice#meteorology#volcanic seismic data#weather,,
St Andrews Research portal - Research Data,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,
data.enanomapper,FAIRsharing_doi:10.25504/FAIRsharing.r18yt0,2 Life Sciences#3 Natural Sciences#31 Chemistry,biomedicine#chemical compounds#chemical structures#chemical substances#environmental health#nanoinformatics#nanomaterials#toxicology,REST,Repository-Developed Metadata Schemas
Allen Brain Atlas,FAIRsharing_doi:10.25504/FAIRsharing.3kfn3j#RRID:SCR_005984#RRID:nlx_151358,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#206 Neurosciences#206 Neurosciences#20606 Cognitive Neuroscience and Neuroimaging#21 Biology#22 Medicine,RNA sequencing data#cell#electrophysiology#genomics#human brain#morphology#mouse brain#neurology#neuroscience#primate brain,REST#other,
UniSave,RRID:SCR_004946#RRID:nlx_91568,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology,bioinformatics#genomics,FTP#REST,
Selected constants energy levels and atomic spectra of actinides,ISSN 2428-257X,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#31 Chemistry#32 Physics",actinides#atomic physics#molecular physics,,
ASTER j-spacesystems,,3 Natural Sciences#311 Astrophysics and Astronomy#315 Geophysics and Geodesy#32 Physics#34 Geosciences (including Geography),"TERRA#agriculture, forestry,ranching#atmosphere#coastal resources#earth sciences#environment#geological features#map creation#mission#sea areas#snow & ice#space sciences#water areas#water resources",,
DIAMM,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10302 Musicology#11 Humanities",European polyphony#middle ages#photographs#plainchant#polyphonic music manuscripts#printed facsimiles,,Repository-Developed Metadata Schemas
Solar and Heliospheric Observatory,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,CDS#CELIAS#EIT#ERNE#GOLF#LASCO#MDI#SUMER#SWAN#UVCS#VIRGO#helioseismology#interior of the sun#ionized gas#satellite#solar wind#space science#spacecraft#sun corona#sun-earth interaction,other,
EnvBase,,2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology,bioinformatics#genomics#post-genomics#proteomics,,
ChIP-Seq Transcription Factor Data,,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#204 Microbiology, Virology and Immunology#20405 Immunology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",DNA#STAT1#chromatin immunoprecipitation#human#interferon#mammals#mouse liver#sequencing,,
EM-DAT,,3 Natural Sciences#34 Geosciences (including Geography),biology#climatology#earthquake#economic damage estimates#epidemic#extreme temperature#hazard#humanitarian action#hydrology#industrial accident#meteorology#natural disaster#space weather#technological disaster#volcanic activity,,
National Eye Institute Data Commons,,2 Life Sciences#22 Medicine,brain#ophtalmology#retina,,
The World Bank Open Data,RRID:SCR_012767#RRID:nlx_156929,1 Humanities and Social Sciences#12 Social and Behavioural Sciences,Agriculture and Rural Development#Aid Effectiveness#Climate Change#Economic Policy#Education#Energy and Mining#Environment#External Debt#Financial Sector#Gender#Health#Labor Protection#Microdata#Poverty#Private Sector#Public Sector#Science and Technology#Social Development#Social Protection#Urban Development,REST,
Wittliff Collections - Digital Collections,,"1 Humanities and Social Sciences#101 Ancient Cultures#101 Ancient Cultures#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities#12 Social and Behavioural Sciences#3 Natural Sciences#317 Geography#34 Geosciences (including Geography)",Mexico#authors#literature#music#photographs#southwest of America,,
Cassavabase,FAIRsharing_DOI:10.25504/FAIRsharing.ejofJI,"2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",Africa#field trials#genotyping#organisms#sub-Saharan Africa,FTP,
Materials Data Repository,OpenDOAR:9713,3 Natural Sciences#31 Chemistry#32 Physics#4 Engineering Sciences#405 Materials Engineering#406 Materials Science#43 Materials Science and Engineering,materials engineering#materials informatics#materials platform#materials science,,Repository-Developed Metadata Schemas
Portable X-Ray fluorescence analysis of Late Bronze Age glass from Amarna,doi: 10.17171/2-15,1 Humanities and Social Sciences#101 Ancient Cultures#10105 Egyptology and Ancient Near Eastern Studies#11 Humanities,Amarna#Egypt#Late Bronze Age#cobalt#glass#portable XRF#workshops,,
Canadian Centre for Energy Information,,"1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences#3 Natural Sciences#302 Chemical Solid State and Surface Research#30201 Solid State and Surface Chemistry, Material Synthesis#31 Chemistry#4 Engineering Sciences#404 Heat Energy Technology, Thermal Machines, Fluid Mechanics#40401 Energy Process Engineering#408 Electrical Engineering#42 Thermal Engineering/Process Engineering#44 Computer Science, Electrical and System Engineering",electicity#energy efficiency#natural gas#oil#petroleum#statistics,,DCAT - Data Catalog Vocabulary
Das Deutsche Referenzkorpus,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,corpora#corpus acquisition#corpus exploitation#corpus preparation#fictional and academic texts#linguistics#morphysyntatical annotations#newspaper texts#syntax,OAI-PMH#other,
National Data,,1 Humanities and Social Sciences,PMU#banking#census data#consumer price index#foreign trade#gross domestic product#producer price index#purchasing managers index#social sciences#statistics#telecommunication#transportation,,
ChEMBL,FAIRsharing_doi:10.25504/fairsharing.m3jtpg#OMICS_02731#RRID:SCR_014042,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20107 Bioinformatics and Theoretical Biology#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine#3 Natural Sciences#304 Analytical Chemistry, Method Development (Chemistry)#305 Biological Chemistry and Food Chemistry#31 Chemistry",basic research#life science experiments,FTP#REST#SPARQL,
Canadia Blood Services Data4Research Program,,"1 Humanities and Social Sciences#2 Life Sciences#204 Microbiology, Virology and Immunology#205 Medicine#21 Biology#22 Medicine",PPRS#cellular therapy#clinical research#plasma#proteins#related prducts#transfusion#transplantation medicine,,
Mendeley Data,FAIRsharing_doi:10.25504/FAIRsharing.3epmpp#RRID:SCR_015671,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#data collection platform#multidisciplinary,other,
Climate Data Online,biodbcore-001649,3 Natural Sciences#313 Atmospheric Science and Oceanography#317 Geography#34 Geosciences (including Geography),climatology#geography#historical weather#meteorology#precipitation#weather#weather radar,FTP#OpenDAP#REST,
CERN Open Data,,"3 Natural Sciences#307 Condensed Matter Physics#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#309 Particles, Nuclei and Fields#310 Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics#32 Physics",LHC Large Hadron Collider#basic constituents of matter#detectors#particle accelerators#particle physics#primary data#universe,,
Riga Stradins University  dataverse,,"1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",immunology#infectious diseases#oncology#public health,,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
tDAR,FAIRsharing_doi:10.25504/FAIRsharing.7fKiFY,1 Humanities and Social Sciences#101 Ancient Cultures#102 History#11 Humanities,archaeological data#archaeological investigations#archaeology#artifacts#cultural heritage#long term preservation,,Dublin Core
World Data Centre for Greenhouse Gases,FAIRsharing_doi:10.25504/FAIRsharing.71fae0,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),atmospheric chemistry observations#global atmosphere watch#greenhouse gases,NetCDF,
TRY,,2 Life Sciences#202 Plant Sciences#21 Biology,biodiversity#biogeography#biology#botany#characteristics of plants#ecology#ecosystem#plant anatomy#plant morphology#plant phenology#plant physiology#terrestrial vegetation,,
DisProt,FAIRsharing_doi:10.25504/FAIRsharing.dt9z89#RRID:SCR_007097#RRID:nif-0000-02754,2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology,cell biology#intrinsically disordered proteins  IDPs#molecular biology#protein structure,REST#REST,Repository-Developed Metadata Schemas
DEPOD,FAIRsharing_doi:10.25504/FAIRsharing.q9j2e3#MIR:00000428,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20107 Bioinformatics and Theoretical Biology#21 Biology,bioinformatics#enzyme#non-protein substrates#phosphatase#protein substrates#proteomics,,
University of Prince Edward Island Data (Beta),,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,DDI - Data Documentation Initiative#Dublin Core
caArray,FAIRsharing_doi:10.25504/FAIRsharing.gdqqm0#RRID:OMICS_00864#RRID:SCR_006053#RRID:nlx_151452,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#205 Medicine#20503 Human Genetics#20514 Hematology, Oncology, Transfusion Medicine#21 Biology#22 Medicine",bioinformatics#cancer#gene expression#microarray,other,
Analysis of the Interstellar Medium of Isolated Galaxies,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,Physical Sciences#galaxies,,
Nottingham Research Data Management Repository,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,Dublin Core
The Netlib,,3 Natural Sciences#312 Mathematics#33 Mathematics,mathematical software,FTP,
