,count,values
refine_ls_restr.type,2,"['p_angle_d', 'p_angle_deg', 'p_bond_d', 'p_chiral_restr', 'p_hb_or_metal_coord', 'p_mcangle_it', 'p_mcbond_it', 'p_multtor_nbd', 'p_orthonormal_tor', 'p_planar_d', 'p_planar_tor', 'p_plane_restr', 'p_scangle_it', 'p_scbond_it', 'p_singtor_nbd', 'p_special_tor', 'p_staggered_tor', 'p_transverse_tor', 'p_xhyhbond_nbd', 'p_xyhbond_nbd']"
citation.country,2,"['UK', 'US']"
rcsb_accession_info.initial_release_date,2,['1998-05-27T00:00:00+0000']
pdbx_vrpt_summary.absolute_percentile_percent_ramachandran_outliers,2,[6.3]
rcsb_primary_citation.rcsb_journal_abbrev,2,['J Med Chem']
pdbx_audit_revision_history.minor_revision,2,"[0, 1, 2, 3]"
citation.page_last,2,['1383']
rcsb_entry_info.assembly_count,2,[1]
rcsb_entry_info.nonpolymer_entity_count,2,[2]
audit_author.name,2,"['Kahn, M.', 'St Charles, R.', 'Tulinsky, A.']"
cell.length_c,2,[72.79]
rcsb_entry_info.diffrn_resolution_high.value,2,[2.1]
pdbx_audit_revision_history.revision_date,2,"['1998-05-27T00:00:00+0000', '2008-03-24T00:00:00+0000', '2011-07-13T00:00:00+0000', '2012-12-12T00:00:00+0000']"
refine.ls_dres_low,2,[7.0]
rcsb_entry_info.polymer_entity_taxonomy_count,2,[3]
pdbx_audit_revision_group.ordinal,2,"[1, 2, 3, 4, 5, 6, 7, 8]"
reflns.pdbx_rmerge_iobs,2,[0.072]
rcsb_primary_citation.page_first,2,['1376']
rcsb_entry_info.na_polymer_entity_types,2,['Other']
diffrn_radiation.wavelength_id,2,['1']
rcsb_id,2,['1A5G']
rcsb_primary_citation.journal_volume,2,['42']
diffrn_source.pdbx_wavelength,2,['1.5418']
rcsb_entry_info.solvent_entity_count,2,[1]
reflns.pdbx_ordinal,2,[1]
diffrn.crystal_id,2,['1']
refine_hist.pdbx_number_atoms_protein,2,[2334]
software.classification,2,"['data collection', 'data reduction', 'data scaling', 'refinement']"
refine.ls_dres_high,2,[2.06]
rcsb_entry_info.polymer_entity_count_rna,2,[0]
rcsb_entry_info.deposited_model_count,2,[1]
pdbx_vrpt_summary.pdbrevision_date,2,['2012-12-12T00:00:00+0000']
pdbx_vrpt_summary.percent_rotamer_outliers,2,[8.37]
rcsb_entry_info.polymer_entity_count_dna,2,[0]
rcsb_accession_info.minor_revision,2,[3]
pdbx_database_status.pdb_format_compatible,2,['Y']
pdbx_audit_revision_group.data_content_type,2,['Structure model']
rcsb_entry_info.experimental_method,2,['X-ray']
rcsb_entry_info.nonpolymer_molecular_weight_minimum,2,[0.02]
rcsb_accession_info.revision_date,2,['2012-12-12T00:00:00+0000']
refine_hist.d_res_high,2,[2.06]
rcsb_entry_info.branched_entity_count,2,[0]
refine_hist.d_res_low,2,[7.0]
rcsb_entry_info.deposited_unmodeled_polymer_monomer_count,2,[20]
refine.pdbx_refine_id,2,['X-RAY DIFFRACTION']
diffrn_source.type,2,['RIGAKU RUH2R']
rcsb_entry_container_identifiers.model_ids,2,[1]
pdbx_vrpt_summary.num_pdbids_relative_percentile_percent_ramachandran_outliers,2,[2768]
software.version,2,['II']
rcsb_entry_info.polymer_entity_count_protein,2,[3]
reflns.observed_criterion_sigma_i,2,[2.0]
pdbx_vrpt_summary.low_resol_relative_percentile_clashscore,2,[2.08]
rcsb_entry_info.diffrn_radiation_wavelength_minimum,2,[1.5418]
pdbx_database_status.status_code,2,['REL']
diffrn_radiation.pdbx_monochromatic_or_laue_ml,2,['M']
pdbx_vrpt_summary.report_creation_date,2,"['May 29, 2020 -- 07:30 pm BST']"
pdbx_vrpt_summary.percent_ramachandran_outliers,2,[2.16]
diffrn_radiation.monochromator,2,['NI FILTER']
rcsb_primary_citation.journal_id_issn,2,['0022-2623']
rcsb_entry_info.deposited_solvent_atom_count,2,[135]
reflns.pdbx_diffrn_id,2,['1']
pdbx_vrpt_summary.bonds_rmsz,2,[1.09]
exptl.crystals_number,2,[1]
rcsb_entry_info.cis_peptide_count,2,[1]
citation.rcsb_authors,2,"['Chrusciel, R.A.', 'Kahn, M.', 'Matthews, J.H.', 'Nakanishi, H.', 'Priebe, C.', 'Qiu, X.', 'Shen, R.', 'St Charles, R.', 'Tulinsky, A.', 'Wu, T.P.', 'Yee, V.', 'Zhang, E.']"
refine_hist.cycle_id,2,['LAST']
diffrn_radiation.diffrn_id,2,['1']
pdbx_vrpt_summary.num_pdbids_absolute_percentile_percent_rotamer_outliers,2,[138945]
pdbx_vrpt_summary.ligands_for_buster_report,2,['yes']
cell.length_a,2,[70.81]
pdbx_vrpt_summary.absolute_percentile_percent_rotamer_outliers,2,[10.6]
pdbx_molecule_features.class_,2,['Thrombin inhibitor']
citation.id,2,"['1', '2', 'primary']"
rcsb_entry_info.deposited_polymer_monomer_count,2,[307]
citation.journal_volume,2,"['4', '42', '6']"
refine.ls_number_reflns_obs,2,[14977]
diffrn.id,2,['1']
exptl_crystal.id,2,['1']
refine_hist.number_atoms_total,2,[2513]
exptl_crystal_grow.pdbx_details,2,"['PROTEIN WAS CRYSTALLIZED FROM 15% PEG 8000, 75 MM NAPO4, PH 7.3, 187 MM NACL, 1 MM NAN3; THEN SOAKED IN 7 MM INHIBITOR.']"
diffrn_detector.type,2,['RIGAKU']
struct_keywords.text,2,"['COMPLEX (SERINE PROTEASE-INHIBITOR), HYDROLASE-HYDROLASE INHIBITOR COMPLEX']"
audit_author.pdbx_ordinal,2,"[1, 2, 3]"
citation.title,2,"['Active Site and Exosite Binding of Alpha-Thrombin', ""Bound structures of novel P3-P1' beta-strand mimetic inhibitors of thrombin."", 'The Structure of a Designed Peptidomimetic Inhibitor Complex of Alpha-Thrombin']"
rcsb_primary_citation.journal_abbrev,2,['J.Med.Chem.']
citation.rcsb_journal_abbrev,2,"['Blood Coagul Fibrinolysis', 'J Med Chem', 'Protein Eng']"
rcsb_entry_info.resolution_combined,2,[2.06]
citation.journal_id_astm,2,"['BLFIE7', 'JMCMAR', 'PRENE9']"
pdbx_vrpt_summary.num_angles_rmsz,2,[3195]
pdbx_vrpt_summary.pdbdeposition_date,2,['1998-02-16T00:00:00+0000']
diffrn_radiation.pdbx_scattering_type,2,['x-ray']
rcsb_entry_info.nonpolymer_bound_components,2,"['00L', 'NA']"
rcsb_entry_info.structure_determination_methodology,2,['experimental']
diffrn_detector.pdbx_collection_date,2,['1996-10-15T00:00:00+0000']
rcsb_primary_citation.page_last,2,['1383']
rcsb_entry_info.disulfide_bond_count,2,[4]
rcsb_primary_citation.journal_id_astm,2,['JMCMAR']
rcsb_entry_info.software_programs_combined,2,"['PROFFT', 'R-AXIS']"
pdbx_vrpt_summary.num_pdbids_absolute_percentile_percent_ramachandran_outliers,2,[138981]
reflns.pdbx_redundancy,2,[2.1]
rcsb_primary_citation.rcsb_authors,2,"['Matthews, J.H.', 'St Charles, R.', 'Tulinsky, A.', 'Zhang, E.']"
rcsb_entry_info.polymer_entity_count_nucleic_acid,2,[0]
struct_keywords.pdbx_keywords,2,['HYDROLASE/HYDROLASE INHIBITOR']
symmetry.int_tables_number,2,[5]
rcsb_accession_info.deposit_date,2,['1998-02-16T00:00:00+0000']
refine.pdbx_diffrn_id,2,['1']
cell.angle_beta,2,[100.8]
diffrn_source.source,2,['ROTATING ANODE']
pdbx_audit_revision_history.data_content_type,2,['Structure model']
pdbx_audit_revision_history.ordinal,2,"[1, 2, 3, 4]"
rcsb_entry_info.polymer_entity_count,2,[3]
pdbx_database_status.recvd_initial_deposition_date,2,['1998-02-16T00:00:00+0000']
rcsb_primary_citation.country,2,['US']
exptl_crystal.density_percent_sol,2,[49.0]
refine.ls_percent_reflns_obs,2,[81.0]
pdbx_vrpt_summary.high_resol_relative_percentile_percent_ramachandran_outliers,2,[2.04]
rcsb_entry_info.diffrn_resolution_high.provenance_source,2,['Depositor assigned']
pdbx_audit_revision_details.type,2,['Initial release']
pdbx_vrpt_summary.attempted_validation_steps,2,"['molprobity,validation-pack,mogul,buster-report,percentiles,writexml']"
pdbx_audit_revision_history.major_revision,2,[1]
pdbx_vrpt_summary.pdbresolution,2,[2.06]
citation.journal_abbrev,2,"['Blood Coagulation Fibrinolysis', 'J.Med.Chem.', 'Protein Eng.']"
pdbx_vrpt_summary.num_bonds_rmsz,2,[2372]
reflns.number_obs,2,[18339]
software.pdbx_ordinal,2,"[1, 2, 3, 4]"
citation.page_first,2,"['1376', '305', '471']"
exptl_crystal.density_matthews,2,[2.6]
refine_ls_restr.dev_ideal,2,"[0.019, 0.021, 0.043, 0.053, 0.2, 0.22, 0.26, 0.27, 0.9, 1.6, 2.0, 2.8, 4.0, 21.0, 31.0]"
rcsb_entry_info.diffrn_radiation_wavelength_maximum,2,[1.5418]
reflns.d_resolution_high,2,[2.1]
pdbx_vrpt_summary.high_resol_relative_percentile_percent_rotamer_outliers,2,[2.04]
rcsb_entry_container_identifiers.rcsb_id,2,['1A5G']
diffrn_source.diffrn_id,2,['1']
diffrn.ambient_temp,2,[273.0]
rcsb_primary_citation.pdbx_database_id_pub_med,2,[10212123]
cell.zpdb,2,[4]
pdbx_molecule_features.prd_id,2,['PRD_000618']
rcsb_entry_info.polymer_monomer_count_minimum,2,[12]
citation.journal_id_csd,2,"['0151', '0796', '0859']"
refine_hist.pdbx_refine_id,2,['X-RAY DIFFRACTION']
pdbx_vrpt_summary.num_pdbids_absolute_percentile_clashscore,2,[141614]
refine_ls_restr.dev_ideal_target,2,"[0.02, 0.025, 0.03, 0.05, 0.15, 0.6, 1.0, 1.5, 2.0, 3.0, 15.0, 20.0]"
symmetry.space_group_name_hm,2,['C 1 2 1']
rcsb_entry_info.inter_mol_metalic_bond_count,2,[12]
rcsb_accession_info.status_code,2,['REL']
pdbx_vrpt_summary.angles_rmsz,2,[2.01]
pdbx_audit_revision_details.ordinal,2,[1]
rcsb_accession_info.has_released_experimental_data,2,['N']
rcsb_primary_citation.pdbx_database_id_doi,2,['10.1021/jm980052n']
cell.angle_gamma,2,[90.0]
reflns.percent_possible_obs,2,[81.0]
citation.journal_id_issn,2,"['0022-2623', '0269-2139', '0957-5235']"
rcsb_entry_info.structure_determination_methodology_priority,2,[10]
struct.pdbx_descriptor,2,"['ALPHA-THROMBIN, HIRUGEN, MOL126, N-PHENETHYL-FORMAMIDE']"
citation.pdbx_database_id_doi,2,['10.1021/jm980052n']
refine_hist.pdbx_number_atoms_ligand,2,[44]
pdbx_audit_revision_details.provider,2,['repository']
refine.ls_rfactor_rwork,2,[0.158]
cell.length_b,2,[72.25]
pdbx_vrpt_summary.clashscore,2,[26.96]
rcsb_primary_citation.id,2,['primary']
rcsb_entry_container_identifiers.pubmed_id,2,[10212123]
pdbx_vrpt_summary.absolute_percentile_clashscore,2,[5.0]
citation.rcsb_is_primary,2,"['N', 'Y']"
struct.title,2,['HUMAN THROMBIN COMPLEXED WITH NOVEL SYNTHETIC PEPTIDE MIMETIC INHIBITOR AND HIRUGEN']
rcsb_accession_info.major_revision,2,[1]
rcsb_entry_info.polymer_molecular_weight_maximum,2,[29.78]
pdbx_vrpt_summary.low_resol_relative_percentile_percent_rotamer_outliers,2,[2.08]
citation.pdbx_database_id_pub_med,2,[10212123]
rcsb_entry_info.experimental_method_count,2,[1]
rcsb_primary_citation.journal_id_csd,2,['0151']
pdbx_vrpt_summary.relative_percentile_percent_ramachandran_outliers,2,[1.1]
rcsb_entry_container_identifiers.assembly_ids,2,['1']
pdbx_vrpt_summary.num_pdbids_relative_percentile_percent_rotamer_outliers,2,[2768]
exptl_crystal_grow.p_h,2,[7.3]
pdbx_vrpt_summary.pdbresolution_low,2,[7.0]
rcsb_primary_citation.title,2,"[""Bound structures of novel P3-P1' beta-strand mimetic inhibitors of thrombin.""]"
rcsb_entry_container_identifiers.entity_ids,2,"['1', '2', '3', '4', '5', '6']"
pdbx_vrpt_summary.protein_dnarnaentities,2,"['1,2,3']"
rcsb_entry_info.polymer_monomer_count_maximum,2,[259]
pdbx_vrpt_summary.relative_percentile_clashscore,2,[0.9]
entry.id,2,['1A5G']
pdbx_vrpt_summary.pdbrevision_number,2,[4.0]
software.name,2,"['PROFFT', 'R-AXIS']"
