,count,values
projectSet.thesaurusCode,20,"['CAMPAIGNS.AMMA', 'CAMPAIGNS.BAOBAB', 'CAMPAIGNS.CHARMEX', 'CAMPAIGNS.EXAEDRE', 'CAMPAIGNS.HYMEX', 'CAMPAIGNS.KASCADE', 'CAMPAIGNS.MISTRALS', 'GROUND_DATA.ACTRIS', 'GROUND_DATA.ACTRIS-FR', 'GROUND_DATA.NDACC-FR', 'GROUND_DATA.P2OA', 'SPATIAL.CALIPSO', 'SPATIAL.CLOUDSAT']"
platformSet.label,18,"['Aircraft.null.null', 'Earth Observation Satellites.NASA Earth System Science Pathfinder.CALIPSO', 'Earth Observation Satellites.NASA Earth System Science Pathfinder.CloudSat', 'In Situ Land-based Platforms.Air monitoring Stations/Networks.null', 'In Situ Land-based Platforms.Ground Stations.null', 'In Situ Land-based Platforms.Observatories.null', 'In Situ Land-based Platforms.Weather Stations/Networks.Meteorological Stations']"
instrumentSet.description.DEFAULT_VALUE_KEY,3,"['LIDARs of the ACTRIS-EARLINET network', 'The earliest Dobson Spectrophotometer was built in the mid-1920s by G.M.B. Dobson for the purpose of investigating atmospheric circulation by measuring changes in atmospheric ozone. This ground-based instrument measures column ozone by the technique of differential absorption of ultraviolet (UV) light with the sun (or moon) as a light source.By comparing the UV light intensity at wavelengths that are strongly absorbed and weakly absorbed by ozone, the column ozone content of the atmosphere is currently determinated']"
parameterSet.comment.fr,8,"[None, 'Aerosol micro-physical properties retrievals and computed optical properties', 'Depuis Octobre 2004', 'Depuis Septembre 1983']"
modifications,19,[None]
status,20,['Public']
publications.journalSection,2,['']
contacts.ror,18,['']
parameterSet.shortName,12,"['03', 'Aerosols', 'Air Pressure', 'Air Temperature', 'Differential Pressure', 'Incoming Longwave Radiation', 'Incoming Shortwave Radiation', 'Mixing Ratio', 'Outgoing Longwave Radiation', 'Outgoing Shortwave Radiation', 'Rainfall', 'Relative humidity', 'Soil Temperature', 'Soil moisture', 'Sonic Temperature', 'Turbulence', 'U Wind component', 'V Wind component', 'W wind component', 'Wind Direction', 'Wind Speed', 'u*']"
interoperabilityInformation.filterDescription,19,[None]
instrumentSet.description.fr,1,[None]
distributionInformation.embargoRoles,17,[None]
distributionInformation.dataPolicyReminder,18,[False]
publications.title,2,['']
contacts.organisations,17,[None]
datasetSpecification.datasetCreationDate,1,['2015-10-27']
links.name,20,"['', 'AERIS/ICARE ACTRIS Pinboard Visualization Tool', 'AERIS/ICARE FTP access', 'AERIS/ICARE FTP-like web interface', 'NOAA FTP', 'Product information']"
aerisDataCenter,20,"[None, 'ESPRI', 'ICARE', 'SEDOO']"
datasetSpecification.datasetRevisionDate,1,['']
dataCenter,20,['']
identifiers.code,4,"['', '10.25326/69', '10.6096/KASCADE.16']"
resourceAbstract.fr,20,"['', 'Ambient air is sucked by a pump through a membrane-filter and aerosols are collected on the surface of the filter for the evaluation of measurement of Radon daughter concentration in the air.<br />\r\n<br />\r\nThe air inlet is 3cm in diameter and is 4m above ground level.', 'CALIOP 1km-Resolution Cloud Layers - Level 2', 'CALIOP 5km-Resolution Aerosol Layers - Level 2', 'CALIOP Expedited 1km-Resolution Cloud Layers - Level 2', 'CALIOP Expedited 5km-Resolution Aerosol Profile', 'CPR Radar Backscatter Profiles - Level 1B', 'CPR Radiative Fluxes and Heating Rates - Level 2', ""Les colonnes intégrées d'O3 stratosphérique ont été mesurées par un Dobson à l'OMP (Observatoire Midi-Pyrénées), station du réseau NDACC (Network for Detection of Atmospheric Composition Change). C'est le Service d'Observation NDACC-France du CNRS (Centre National de la Recherche Scientifique)/INSU (Institut National des Sciences de l’Univers) coordonné nationalement par l'OVSQ (Observatoire de l’université de Versailles) qui a la charge de cette activité."", ""Les données de colonnes intégrées d’O3 ont été mesurées par un spectrophotomètre Dobson à la station de l'OHP (Observatoire de Haute Provence), station du réseau NDACC (Network for Detection of Atmospheric Composition Change). C'est le Service d'Observation NDACC-France du CNRS (Centre National de la Recherche Scientifique)/INSU (Institut National des Sciences de l’Univers) coordonné nationalement par l'OVSQ (Observatoire de l’université de Versailles) qui a la charge de cette activité."", 'Measure the various components of the local-scale energy budget. Contribute to the flux station network over the AMMA regional transect.<br />\n<br />\nObserving strategy: <br />\nDirect measure of  micrometeorological variables. Direct eddy correlation measurements of sensible heat, momentum, and by inference - evapotranspiration.', 'Raw measured data from the three sonic anemometers, split into files of 30-min. Hence, from these files only the CSAT can be used to calculate fluxes. For the Young 1 and Young 2 we recommend to download the de-spiked data which can be found in the ""Turbulence M30 raw data (despiked)"" part on this website.', 'The aim of the Acoutic array is to document the range dependency of the acoustics signal emitted by lightning flashes and to improve the acoustics-based detection efficiency of lightning strikes within a range of 25 km in the monitored area.<br />\n<br />\nObserving strategy: <br />\nWe use a small array (AA) of 4 microphones and 8 supplementary stand-alone (SA) microphones. AA is composed of 4 microphones set up in a equatorial triangle of about 30 m baseline with a sensor in its barycenter. The SA microphones are deployed within a range of 10 km around AA. Microphones measure acoustic waves (atmospheric pressure change). Their bandwidth is from 0.1 to 10,000 Hz but the sampling frequency was 250 Hz.<br />\r\n<br />\r\nCorrelation between recorded waveforms with AA sensors is performed to detect coherent acoustic wave which propagates over the network. Azimuth and horizontal velocity of the detected waves can then be calculated. From the time of occurrence of the associated flash and the time of arrival of the acoustic wave at AA, we infer the distance of the flash. Finally, from the horizontal distance, we calculate the elevation angle of the acoustic wave knowing the sound speed. With the azimuth, the elevation angle and the distance, we can then reconstruct in 3D the lightning channel.<br />\r\n<br />\r\nThe SA microphones give the changes of the acoustic wave with the distance and the azimuth in comparison with the AA microphones.<br />\r\n<br />\r\nThis technique has been developed and improved during the SOP1 (Gallin et al., 2016; Lacroix et al., 2018; Lacroix et al., 2019).', 'This dataset provides the GARRLiC micro-physical and optical retrieved properties, based on combined lidar and photometer measurements. It covers the Jan-May period (excluding the data related to the May campaign and reported in the companion dataset) as of interest for the investigation of COVID-19 restriction and relaxation actions. Aerosol lidar preprocessed data analysed using the Single Calculus Chain (SCC) are used here, with no further quality control and checks apart the check that aerosol optical properties are obtained using such signals. Being only the data analysed with SCC, this dataset corresponds only to a subset of the aerosol optical profiles collected (https://doi.org/10.21336/gen.w3w1-j222). Photometer data used as inputs are the AERONET/NASA Aerosol Optical Depth (AOD) level 1.5 version 3 and the Almucantars (ALM) radiances version 3 products. The GARRLiC software uses internally the GRASP algorithm version 0.8.1. The generated products have the v2.11 version.', 'Time series of L0 Aerodyne ACSM_140-113 Aerosol Chemical Speciation Monitor of the Gif Sur Yvette (91) station. Available acquisitions start from 2011-06-01 10:35:00 to 2016-10-01 00:56:42', 'Time series of L0 Aerodyne ACSM_140-113 Aerosol Chemical Speciation Monitor of the Gif Sur Yvette (91) station. Available acquisitions start from 2015-05-29 08:19:21 to 2018-02-24 00:01:39', 'Time series of L1 Aerodyne ACSM_140-113 Aerosol Chemical Speciation Monitor of the Gif Sur Yvette (91) station. ', ""Time series of L1 Aerodyne ACSM_140-157 Aerosol Chemical Speciation Monitor of the M'Bour (SEN) station. Available acquisitions start from 2015-03-12 12:38:44 to 2016-01-26 00:14:01"", 'Time series of L2 Aerodyne ACSM_140-113 Aerosol Chemical Speciation Monitor of the Gif Sur Yvette (91) station. Available acquisitions start from 2011-01-01 01:00:00 to 2016-10-01 01:00:00', 'à compléter']"
formats.readingInformation.fr,1,['']
publications.publicationYear,2,[0]
instrumentSet.thesaurusCode,17,"['', 'https://vocab.aeris-data.fr/instrument/192cac5e-11ce-5fda-ec0f-d4b7931c5cc1', 'https://vocab.aeris-data.fr/instrument/1b960522-27a4-f74b-21b7-2a26ea8e08f7', 'https://vocab.aeris-data.fr/instrument/2439f9b4-ba01-c851-cad7-5bb58dda2b6a', 'https://vocab.aeris-data.fr/instrument/590ce087-f1ec-c97e-7ce5-03a6a6ae8a66', 'https://vocab.aeris-data.fr/instrument/8e9ddee2-1bb1-139a-2919-cd22189c1f7e', 'https://vocab.aeris-data.fr/instrument/93419e58-32d1-7cc2-56f2-c004ef49d611', 'https://vocab.aeris-data.fr/instrument/a2ea9ea1-4639-b98e-8ef6-aace34fcd31a', 'https://vocab.aeris-data.fr/instrument/c7dc7c93-330f-14e5-3cdf-9ea417530c9d', 'https://vocab.aeris-data.fr/instrument/fd51df5c-d653-8d3c-d0f0-2e80c8158261']"
editInformations.histories.name,4,"['Abehserra Maxime ', 'DERRIEN Solene', 'MIERE Arnaud', 'Technique Compte', 'andriatiana andry']"
temporalExtents.beginDate,13,"['1983-09-01', '1999-11-04', '2004-10-01', '2005-01-01', '2011-01-01 01:00:00', '2011-06-01 10:35:00', '2012-12-13', '2015-05-29 08:19:21', '2018-09-04', '2020-01-01', '2021-09-24', '2021-11-17', 'No date']"
resourceType,20,['Dataset']
spatialExtents.spatialRepresentation,17,[None]
distributionInformation.description.fr,8,"[None, '""The authors acknowledge the CEA for supplying the data and the HyMeX database teams (ESPRI/IPSL and SEDOO/OMP) for their help in accessing the data.""', 'ChArMEx data and publication policy', 'Permission is granted to use these data in research and publications when accompanied by the following statement: \r\n\r\n\r\n""The KASCADE field experiment was made possible thanks to the contributions of several institutions and supports: CEA is thanked for the financial support, Laboratoire d\'Aérologie (LA, University of Toulouse) and LPCA (University of Dunkerque) are thanked for the provision of instrumentation. LA and LMTE (CEA, Cadarache) are acknowledged for their participation to the field campaign which was hosted by LMTE. The SEDOO, Observatoire Midi-Pyrénées, is acknowledged for its help in data-base management."" \r\n\r\n\r\nNB. A publication by the principle investigators of the KASCADE project is expected in the next months. Once accepted, this paper must be cited in any publication or communication having used the KASCADE data.']"
spatialExtents.additionalData,17,[None]
lastModification.value,14,"['2018-11-07T08:00:43Z', '2018-11-07T08:00:44Z', '2018-11-07T08:00:45Z', '2018-11-07T08:02:47Z', '2018-11-15T10:28:23', '2018-11-15T10:28:24', '2018-11-15T10:28:25', '2018-11-19T18:00:00', '2020-12-02T15:37:36Z']"
editInformations.histories.date,4,"['2021-03-01T22:18:31.524', '2021-03-01T22:18:54.318', '2021-03-01T22:20:22.904', '2021-03-01T22:20:56.254', '2021-03-01T22:22:34.529', '2021-03-01T22:23:07.392', '2021-03-01T22:28:14.582', '2021-03-01T22:28:48.866', '2021-03-01T22:31:17.309', '2021-03-01T22:36:17.218', '2021-03-01T22:40:19.745', '2021-03-01T22:40:31.296', '2021-03-01T22:55:41.119', '2021-03-01T22:58:09.991', '2021-03-01T22:59:22.589', '2021-03-01T22:59:47.792', '2021-08-05T15:34:39.728', '2021-09-27T12:24:50.196', '2021-10-05T13:38:09.502', '2021-10-05T13:39:15.719', '2021-10-05T15:18:41.032', '2021-10-05T15:29:46.993', '2021-10-05T15:33:23.543', '2021-10-05T15:35:44.686', '2021-10-06T03:36:03.615', '2021-10-06T15:36:21.844', '2021-10-07T03:36:38.895', '2021-10-08T08:59:27.491', '2021-10-08T20:59:31.067', '2021-10-09T08:59:34.468', '2021-10-09T20:59:38.005', '2021-10-10T08:59:41.498', '2021-10-10T20:59:45.200', '2021-10-11T08:59:48.590', '2021-10-11T20:59:51.927', '2021-10-12T08:59:55.607', '2021-10-12T20:59:59.212', '2021-10-13T09:00:02.831', '2021-10-13T21:00:06.358', '2021-10-14T09:00:09.669', '2021-10-14T21:00:12.913', '2021-10-15T09:00:16.159', '2021-10-15T21:00:19.647', '2021-10-16T09:00:23.018', '2021-10-16T21:00:26.539', '2021-10-17T09:00:29.814', '2021-10-17T21:00:33.273', '2021-10-18T09:00:36.580', '2021-10-18T21:00:40.425', '2021-10-19T09:00:43.645', '2021-10-19T21:00:47.189', '2021-10-20T09:00:50.630', '2021-10-20T13:38:40.330', '2021-10-20T14:17:57.632', '2021-10-20T14:36:05.823', '2021-10-21T02:36:09.506', '2021-10-21T14:36:13.796', '2021-10-22T02:36:17.511', '2021-10-22T22:22:21.731', '2021-10-23T10:22:25.150', '2021-10-23T22:22:28.606', '2021-10-24T10:22:31.894', '2021-10-24T22:22:35.384', '2021-10-25T10:22:39.457', '2021-10-25T12:09:24.101', '2021-10-25T12:15:28.829', '2021-10-26T00:15:32.449', '2021-10-26T12:15:35.867', '2021-10-27T00:15:39.225', '2021-10-27T12:15:42.596', '2021-10-28T00:15:46.081', '2021-10-28T12:15:49.258', '2021-10-29T00:15:52.698', '2021-10-29T12:15:56.058', '2021-10-30T00:15:59.307', '2021-10-30T12:16:02.511', '2021-10-31T00:16:05.936', '2021-10-31T11:16:09.153', '2021-10-31T23:16:12.484', '2021-11-01T11:16:15.785', '2021-11-01T23:16:19.192', '2021-11-02T11:16:22.534', '2021-11-02T23:16:26.044', '2021-11-03T11:16:29.283', '2021-11-03T23:16:32.696', '2021-11-04T11:16:35.793', '2021-11-04T23:16:39.296', '2021-11-05T11:16:42.517', '2021-11-05T23:16:45.753', '2021-11-06T11:16:49.030', '2021-11-06T23:16:52.441', '2021-11-07T11:16:55.668', '2021-11-07T23:16:58.967', '2021-11-08T11:17:02.238', '2021-11-08T23:17:05.583', '2021-11-09T11:17:08.731', '2021-11-09T23:17:12.106', '2021-11-10T11:17:15.368', '2021-11-10T23:17:18.784', '2021-11-11T11:17:22.126', '2021-11-11T23:17:25.563', '2021-11-12T11:17:28.896', '2021-11-12T23:17:32.350', '2021-11-13T11:17:35.690', '2021-11-13T23:17:39.133', '2021-11-14T11:17:42.407', '2021-11-14T23:17:45.886', '2021-11-15T11:17:49.218', '2021-11-15T23:17:52.856', '2021-11-16T11:17:56.324', '2021-11-16T23:17:59.761', '2021-11-17T11:18:05.537', '2021-11-17T23:18:11.991', '2021-11-18T11:18:18.527', '2021-11-18T23:18:21.961', '2021-11-19T11:18:25.199', '2021-11-19T23:18:28.925', '2021-11-20T11:18:32.159', '2021-11-20T23:18:35.557', '2021-11-21T11:18:38.824', '2021-11-21T23:18:42.319', '2021-11-22T11:18:45.586', '2021-11-22T23:18:48.863', '2021-11-23T11:18:53.468', '2021-11-23T23:18:57.649', '2021-11-24T11:19:01.024', '2021-11-24T23:19:04.479', '2021-11-25T10:03:30.232', '2021-11-25T22:03:33.580', '2021-11-26T10:03:37.176', '2021-11-26T22:03:40.605', '2021-11-27T10:03:44.150', '2021-11-27T22:03:47.355', '2021-11-28T10:03:50.836', '2021-11-28T22:03:54.271', '2021-11-29T10:03:57.761', '2021-11-29T22:04:01.154', '2021-11-30T10:04:05.327', '2021-11-30T22:04:09.053', '2021-12-01T10:04:12.417', '2021-12-01T22:04:15.792', '2021-12-02T10:04:19.206', '2021-12-02T22:04:22.985', '2021-12-03T10:04:26.325', '2021-12-03T22:04:29.900', '2021-12-04T10:04:33.278', '2021-12-04T22:04:36.543', '2021-12-05T10:04:39.950', '2021-12-05T22:04:43.460', '2021-12-06T10:04:46.853', '2021-12-06T22:04:50.571', '2021-12-07T10:04:53.939', '2021-12-07T12:18:11.102', '2021-12-08T00:18:15.002', '2021-12-08T09:51:48.317', '2021-12-08T21:51:52.104', '2021-12-09T09:51:55.670', '2021-12-09T21:51:59.276', '2021-12-10T09:52:02.505', '2021-12-10T21:52:05.774', '2021-12-11T09:52:09.144', '2021-12-11T21:52:31.141', '2021-12-12T09:52:34.451', '2021-12-12T21:52:37.881', '2021-12-13T09:52:41.131']"
publications.authors,2,['']
distributionInformation.dataAccessRoles,17,[None]
site,19,[None]
datasetSpecification.datasetLanguage,1,[None]
contacts.email,18,"['', 'cloudsat@colostate.edu', 'contact@icare.univ-lille1.fr', 'contact@univ-lille.fr', 'crl@ceh.ac.uk', 'francelle.azzopardi@um.edu.mt', 'franck.timouk@ird.fr', 'francois.gheusi@aero.obs-mip.fr', 'francois.truong@lsce.ipsl.fr', 'gert-jan.duine@aero.obs-mip', 'giuseppe.damico@imaa.cnr.it', 'jean.sciare@lsce.ipsl.fr', 'lucia.mona@imaa.cnr.it', 'martin.saliba@um.edu.mt', 'nicolas.pascal@icare.univ-lille1.fr', 'nicolas.pascal@univ-lille.fr', 'office@grasp-sas.com', 'philippe.goloub@univ-lille1.fr', 'support-asdc@earthdata.nasa.gov', 'thierry.hedde@cea.fr', 'thomas.farges@cea.fr', 'valerie.gros@lsce.ipsl.fr', 'veronique.riffault@mines-douai.fr', '\xa0robert.d.evans@noaa.gov']"
identifier,20,"['09362736-533f-57a1-a893-1e9e99afba33', '14ed00ca-8e2e-4961-8967-b7f382ed8f73', '1d1bda30-a336-3b5b-ad0f-cc85d6833cea', '2420cddf-e4c2-3cd7-a36f-e7f8317fd708', '2dd15280-c745-3356-818f-6baac802094f', '34dc7cac-e541-5770-a46e-519619eb2758', '417dd901-e2e0-592e-888d-9f45b55f18c6', '73bbe692-584b-11e3-0016-ce3f5508acd9', '74bbe692-584b-11e3-1510-ce3f5508acd9', '74bbe692-584b-11e3-1596-ce3f5508acd9', '75bbe692-584b-11e3-1266-ce3f5508acd9', '75bbe692-584b-11e3-1307-ce3f5508acd9', '942bcfaf-c71c-5049-a5fe-9d68ff2ca49f', '956a4530-2d59-3aff-a4e5-83d5e7ff7a95', 'd077fcba-13b1-3404-9a3f-e92fe98b61c2', 'e0eafa9b-d113-4aa3-9605-f04a5f9c9932', 'e117c77b-5219-5c45-a797-f062d33c2a5f', 'e5f631a2-75b2-30d5-b326-2c2aff3eaa52', 'e8b81e5e-e2c8-5bdd-b86e-74bd7fb8de33', 'f55fbe83-ddde-4d5c-a057-dd722bb62bee']"
technicalInformation.catalogueMode,20,['prod']
resourceTitle.fr,20,"['01kmCLay', '01kmCLay_Exp', '05kmALay', '05kmAPro_Exp', '1B-CPR', '222Rn _ GLH _ surface - insitu _ UMLT _ data1', '2B-FLXHR', '30 m flux tower, turbulence raw data – LA Toulouse – M30, Cadarache', 'ACAR - US aircraft reports, GTS data', 'ACSM - MBour station - Level 1', 'ACSM - SIRTA station - Level 0', 'ACSM - SIRTA station - Level 1', 'ACSM - SIRTA station - Level 2', 'ACSM - SIRTA station - Native format', 'ACTRIS Aerosol Remote Sensing Data during the COVID-19 pandemic - GARRLiC products', 'AE.SHFlux_G - Two flux stations, Gourma meso-scale site', 'Acoustic array', 'Données de colonnes intégrées d’O3 issues de mesures par le spectrophotomètre Dobson à l’OHP', 'Données de colonnes intégrées d’O3 issues de mesures par le spectrophotomètre Dobson à l’OMP', 'Votre nouvelle fiche dupliquée']"
parameterSet.thesaurusCode,12,"['', 'https://vocab.aeris-data.fr/parameter/0522c82b-1a3c-916f-1042-de47633dc578', 'https://vocab.aeris-data.fr/parameter/0584037f-292a-ed1a-d1c3-29cc7b5ecc15', 'https://vocab.aeris-data.fr/parameter/0ba16906-6ddb-1674-f0e9-4c363104baa2', 'https://vocab.aeris-data.fr/parameter/152d1f4b-660a-025b-db26-9316a86e7bb2', 'https://vocab.aeris-data.fr/parameter/1c7d6e37-ba10-2a81-f8ba-a4e0604b6357', 'https://vocab.aeris-data.fr/parameter/20912b73-815b-88b6-c6c2-46f10c782263', 'https://vocab.aeris-data.fr/parameter/5dce5e38-36c2-e549-7b7c-1a897b7f994e', 'https://vocab.aeris-data.fr/parameter/70f4399e-a80e-ef14-4ab5-b961c047c080', 'https://vocab.aeris-data.fr/parameter/7455b579-4aae-73be-6d18-d6c32d95a12f', 'https://vocab.aeris-data.fr/parameter/9586386e-1a8c-d4eb-9705-07afc26d5e89', 'https://vocab.aeris-data.fr/parameter/aa2d2b78-8a54-6344-bd9e-8705efb52dcd', 'https://vocab.aeris-data.fr/parameter/d6f2480b-f84b-32c2-7c84-c24be4386a99', 'https://vocab.aeris-data.fr/parameter/dee368ad-b2c4-6787-34b8-b4189b2808bf', 'https://vocab.aeris-data.fr/parameter/e871adeb-3701-9bc5-600a-35df165a1eb1', 'https://vocab.aeris-data.fr/parameter/ffa34707-bc12-a59f-9ecd-d1236a7a05cb']"
distributionInformation.licencePolicyUrl,18,['']
programName,20,['']
instrumentSet.label,17,"['', 'Altimeters.Lidar/Laser Altimeters.CALIOP', 'Altimeters.Radar Altimeters.CloudSat-CPR', 'Current/Wind Meters.Sonic Anemometers.null', 'Gauges.Rain Gauges.null', 'Photon/Optical Detectors.Photometers.DOBSON SPECTROPHOTOMETERS', 'Profilers/Sounders.Lidar/Laser Sounders.LIDAR', 'Recorders/Loggers.MMS.null', 'Spectrometers/Radiometers.Imaging Spectrometers/Radiometers.LIP', 'Spectrometers/Radiometers.Radiometers.null']"
contacts.comment.en,6,"['Mirror archive', 'Production, archive, and distribution of CALIPSO products', 'Production, archive, and distribution of CloudSat products']"
formats.description.DEFAULT_VALUE_KEY,3,"['NetCDF4, Climate Forecast Convention compliant', 'see https://badc.nerc.ac.uk/help/formats/NASA-Ames']"
processLevel,19,[None]
instrumentSet.model,17,"['', 'ACSM_140-113', 'ACSM_140-157', 'CNR1', 'CS616', 'CSAT / LI-7500A / 81000', 'N/A', 'Raingauge', 'Solent R3-50', 'T107', 'WXT510']"
contacts.address.city,4,['']
contacts.roles,18,"['custodian', 'distributor', 'metadatapointofcontact', 'originator', 'owner', 'pointofcontact', 'principalinvestigator', 'processor', 'resourceProvider', 'resourceprovider']"
distributionInformation.dataPolicyUrl,18,"['', 'http://mistrals.sedoo.fr/ChArMex/Data-Policy/ChArMex_DataPolicy.pdf', 'http://mistrals.sedoo.fr/HyMeX/Data-Policy/HyMeX_DataPolicy.pdf', 'https://actris.nilu.no/Content/Documents/DataPolicy.pdf']"
instruments,19,[None]
projects,19,[None]
technicalInformation.catalogueName,20,['aeris']
distributionInformation.embargoStartDate,18,['']
