model_A,model_B
"('AERIS', 'spatialExtents.area.southLatitude')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value')"
"('AERIS', 'spatialExtents.area.southLatitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.southBoundLatitude.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.southBoundLatitude.@value')"
"('AERIS', 'spatialExtents.area.westLongitude')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value')"
"('AERIS', 'spatialExtents.area.westLongitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.westBoundLongitude.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.westBoundLongitude.@value')"
"('AERIS', 'language')","('C-CDA', 'ClinicalDocument.languageCode.code')"
"('AERIS', 'language')","('DarwinCore', 'language')"
"('AERIS', 'language')","('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')"
"('AERIS', 'language')","('DublinCore', 'metadata.description.lang')"
"('AERIS', 'language')","('e-GMS', 'Language')"
"('AERIS', 'language')","('EngMeta', 'dataset.description.lang')"
"('AERIS', 'language')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('AERIS', 'language')","('DataCite', 'resource.language.@value')"
"('AERIS', 'language')","('OLAC', 'olac.language.code')"
"('AERIS', 'language')","('SDMX', 'meta.contentLanguages')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('DarwinCore', 'language')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('DublinCore', 'metadata.description.lang')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('e-GMS', 'Language')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('EngMeta', 'dataset.description.lang')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('DataCite', 'resource.language.@value')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('OLAC', 'olac.language.code')"
"('C-CDA', 'ClinicalDocument.languageCode.code')","('SDMX', 'meta.contentLanguages')"
"('DarwinCore', 'language')","('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')"
"('DarwinCore', 'language')","('DublinCore', 'metadata.description.lang')"
"('DarwinCore', 'language')","('e-GMS', 'Language')"
"('DarwinCore', 'language')","('EngMeta', 'dataset.description.lang')"
"('DarwinCore', 'language')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('DarwinCore', 'language')","('DataCite', 'resource.language.@value')"
"('DarwinCore', 'language')","('OLAC', 'olac.language.code')"
"('DarwinCore', 'language')","('SDMX', 'meta.contentLanguages')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('DublinCore', 'metadata.description.lang')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('e-GMS', 'Language')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('EngMeta', 'dataset.description.lang')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('DataCite', 'resource.language.@value')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('OLAC', 'olac.language.code')"
"('DDI', 'FragmentInstance.Fragment.DataCollection.DataCollectionModuleName.String.lang')","('SDMX', 'meta.contentLanguages')"
"('DublinCore', 'metadata.description.lang')","('e-GMS', 'Language')"
"('DublinCore', 'metadata.description.lang')","('EngMeta', 'dataset.description.lang')"
"('DublinCore', 'metadata.description.lang')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('DublinCore', 'metadata.description.lang')","('DataCite', 'resource.language.@value')"
"('DublinCore', 'metadata.description.lang')","('OLAC', 'olac.language.code')"
"('DublinCore', 'metadata.description.lang')","('SDMX', 'meta.contentLanguages')"
"('e-GMS', 'Language')","('EngMeta', 'dataset.description.lang')"
"('e-GMS', 'Language')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('e-GMS', 'Language')","('DataCite', 'resource.language.@value')"
"('e-GMS', 'Language')","('OLAC', 'olac.language.code')"
"('e-GMS', 'Language')","('SDMX', 'meta.contentLanguages')"
"('EngMeta', 'dataset.description.lang')","('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')"
"('EngMeta', 'dataset.description.lang')","('DataCite', 'resource.language.@value')"
"('EngMeta', 'dataset.description.lang')","('OLAC', 'olac.language.code')"
"('EngMeta', 'dataset.description.lang')","('SDMX', 'meta.contentLanguages')"
"('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')","('DataCite', 'resource.language.@value')"
"('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')","('OLAC', 'olac.language.code')"
"('ISO19115', 'MD_Metadata.language.LanguageCode.codeListValue')","('SDMX', 'meta.contentLanguages')"
"('DataCite', 'resource.language.@value')","('OLAC', 'olac.language.code')"
"('DataCite', 'resource.language.@value')","('SDMX', 'meta.contentLanguages')"
"('OLAC', 'olac.language.code')","('SDMX', 'meta.contentLanguages')"
"('AERIS', 'parameterSet.uom')","('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit')"
"('AERIS', 'parameterSet.uom')","('EngMeta', 'dataset.measuredVariable.unit.@value')"
"('AERIS', 'parameterSet.uom')","('SensorML', 'SimpleProcess.parameters.ParameterList.parameter.DataRecord.field.DataRecord.field.DataArray.elementType.DataRecord.field.Quantity.uom.code')"
"('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit')","('EngMeta', 'dataset.measuredVariable.unit.@value')"
"('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit')","('SensorML', 'SimpleProcess.parameters.ParameterList.parameter.DataRecord.field.DataRecord.field.DataArray.elementType.DataRecord.field.Quantity.uom.code')"
"('EngMeta', 'dataset.measuredVariable.unit.@value')","('SensorML', 'SimpleProcess.parameters.ParameterList.parameter.DataRecord.field.DataRecord.field.DataArray.elementType.DataRecord.field.Quantity.uom.code')"
"('AERIS', 'contacts.firstName')","('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.given.@value')"
"('AERIS', 'contacts.firstName')","('DataCite', 'resource.creators.creator.givenName.@value')"
"('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.given.@value')","('DataCite', 'resource.creators.creator.givenName.@value')"
"('AERIS', 'contacts.lastName')","('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.family.@value')"
"('AERIS', 'contacts.lastName')","('DataCite', 'resource.creators.creator.familyName.@value')"
"('C-CDA', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.family.@value')","('DataCite', 'resource.creators.creator.familyName.@value')"
"('AERIS', 'contacts.name')","('e-GMS', 'Creator')"
"('AERIS', 'contacts.name')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value')"
"('AERIS', 'contacts.name')","('DataCite', 'resource.creators.creator.creatorName.@value')"
"('e-GMS', 'Creator')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value')"
"('e-GMS', 'Creator')","('DataCite', 'resource.creators.creator.creatorName.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value')","('DataCite', 'resource.creators.creator.creatorName.@value')"
"('DublinCore', 'metadata.description.@value')","('FHIR', 'description')"
"('DublinCore', 'metadata.description.@value')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.abstract.CharacterString.@value')"
"('FHIR', 'description')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.abstract.CharacterString.@value')"
"('AERIS', 'resourceTitle.en')","('C-CDA', 'ClinicalDocument.title.@value')"
"('AERIS', 'resourceTitle.en')","('DarwinCore', 'datasetName')"
"('AERIS', 'resourceTitle.en')","('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')"
"('AERIS', 'resourceTitle.en')","('DublinCore', 'metadata.title.@value')"
"('AERIS', 'resourceTitle.en')","('e-GMS', 'Title')"
"('AERIS', 'resourceTitle.en')","('EngMeta', 'dataset.title.@value')"
"('AERIS', 'resourceTitle.en')","('FHIR', 'meta.extension.valueString')"
"('AERIS', 'resourceTitle.en')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('AERIS', 'resourceTitle.en')","('DataCite', 'resource.titles.title.@value')"
"('AERIS', 'resourceTitle.en')","('OLAC', 'olac.title.@value')"
"('AERIS', 'resourceTitle.en')","('PDB', 'citation.title')"
"('AERIS', 'resourceTitle.en')","('PREMIS', 'premis.object.originalName.@value')"
"('AERIS', 'resourceTitle.en')","('SDMX', 'data.structures.annotations.title')"
"('AERIS', 'resourceTitle.en')","('SensorML', 'SimpleProcess.name.@value')"
"('AERIS', 'resourceTitle.en')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('DarwinCore', 'datasetName')"
"('C-CDA', 'ClinicalDocument.title.@value')","('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('DublinCore', 'metadata.title.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('e-GMS', 'Title')"
"('C-CDA', 'ClinicalDocument.title.@value')","('EngMeta', 'dataset.title.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('FHIR', 'meta.extension.valueString')"
"('C-CDA', 'ClinicalDocument.title.@value')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('DataCite', 'resource.titles.title.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('OLAC', 'olac.title.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('PDB', 'citation.title')"
"('C-CDA', 'ClinicalDocument.title.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('SDMX', 'data.structures.annotations.title')"
"('C-CDA', 'ClinicalDocument.title.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('C-CDA', 'ClinicalDocument.title.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('DarwinCore', 'datasetName')","('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')"
"('DarwinCore', 'datasetName')","('DublinCore', 'metadata.title.@value')"
"('DarwinCore', 'datasetName')","('e-GMS', 'Title')"
"('DarwinCore', 'datasetName')","('EngMeta', 'dataset.title.@value')"
"('DarwinCore', 'datasetName')","('FHIR', 'meta.extension.valueString')"
"('DarwinCore', 'datasetName')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('DarwinCore', 'datasetName')","('DataCite', 'resource.titles.title.@value')"
"('DarwinCore', 'datasetName')","('OLAC', 'olac.title.@value')"
"('DarwinCore', 'datasetName')","('PDB', 'citation.title')"
"('DarwinCore', 'datasetName')","('PREMIS', 'premis.object.originalName.@value')"
"('DarwinCore', 'datasetName')","('SDMX', 'data.structures.annotations.title')"
"('DarwinCore', 'datasetName')","('SensorML', 'SimpleProcess.name.@value')"
"('DarwinCore', 'datasetName')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('DublinCore', 'metadata.title.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('e-GMS', 'Title')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('EngMeta', 'dataset.title.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('FHIR', 'meta.extension.valueString')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('DataCite', 'resource.titles.title.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('OLAC', 'olac.title.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('PDB', 'citation.title')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('SDMX', 'data.structures.annotations.title')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('DDI', 'FragmentInstance.Fragment.StudyUnit.Citation.Title.String.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('DublinCore', 'metadata.title.@value')","('e-GMS', 'Title')"
"('DublinCore', 'metadata.title.@value')","('EngMeta', 'dataset.title.@value')"
"('DublinCore', 'metadata.title.@value')","('FHIR', 'meta.extension.valueString')"
"('DublinCore', 'metadata.title.@value')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('DublinCore', 'metadata.title.@value')","('DataCite', 'resource.titles.title.@value')"
"('DublinCore', 'metadata.title.@value')","('OLAC', 'olac.title.@value')"
"('DublinCore', 'metadata.title.@value')","('PDB', 'citation.title')"
"('DublinCore', 'metadata.title.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('DublinCore', 'metadata.title.@value')","('SDMX', 'data.structures.annotations.title')"
"('DublinCore', 'metadata.title.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('DublinCore', 'metadata.title.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('e-GMS', 'Title')","('EngMeta', 'dataset.title.@value')"
"('e-GMS', 'Title')","('FHIR', 'meta.extension.valueString')"
"('e-GMS', 'Title')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('e-GMS', 'Title')","('DataCite', 'resource.titles.title.@value')"
"('e-GMS', 'Title')","('OLAC', 'olac.title.@value')"
"('e-GMS', 'Title')","('PDB', 'citation.title')"
"('e-GMS', 'Title')","('PREMIS', 'premis.object.originalName.@value')"
"('e-GMS', 'Title')","('SDMX', 'data.structures.annotations.title')"
"('e-GMS', 'Title')","('SensorML', 'SimpleProcess.name.@value')"
"('e-GMS', 'Title')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('EngMeta', 'dataset.title.@value')","('FHIR', 'meta.extension.valueString')"
"('EngMeta', 'dataset.title.@value')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('EngMeta', 'dataset.title.@value')","('DataCite', 'resource.titles.title.@value')"
"('EngMeta', 'dataset.title.@value')","('OLAC', 'olac.title.@value')"
"('EngMeta', 'dataset.title.@value')","('PDB', 'citation.title')"
"('EngMeta', 'dataset.title.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('EngMeta', 'dataset.title.@value')","('SDMX', 'data.structures.annotations.title')"
"('EngMeta', 'dataset.title.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('EngMeta', 'dataset.title.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('FHIR', 'meta.extension.valueString')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')"
"('FHIR', 'meta.extension.valueString')","('DataCite', 'resource.titles.title.@value')"
"('FHIR', 'meta.extension.valueString')","('OLAC', 'olac.title.@value')"
"('FHIR', 'meta.extension.valueString')","('PDB', 'citation.title')"
"('FHIR', 'meta.extension.valueString')","('PREMIS', 'premis.object.originalName.@value')"
"('FHIR', 'meta.extension.valueString')","('SDMX', 'data.structures.annotations.title')"
"('FHIR', 'meta.extension.valueString')","('SensorML', 'SimpleProcess.name.@value')"
"('FHIR', 'meta.extension.valueString')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('DataCite', 'resource.titles.title.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('OLAC', 'olac.title.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('PDB', 'citation.title')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('SDMX', 'data.structures.annotations.title')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('DataCite', 'resource.titles.title.@value')","('OLAC', 'olac.title.@value')"
"('DataCite', 'resource.titles.title.@value')","('PDB', 'citation.title')"
"('DataCite', 'resource.titles.title.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('DataCite', 'resource.titles.title.@value')","('SDMX', 'data.structures.annotations.title')"
"('DataCite', 'resource.titles.title.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('DataCite', 'resource.titles.title.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('OLAC', 'olac.title.@value')","('PDB', 'citation.title')"
"('OLAC', 'olac.title.@value')","('PREMIS', 'premis.object.originalName.@value')"
"('OLAC', 'olac.title.@value')","('SDMX', 'data.structures.annotations.title')"
"('OLAC', 'olac.title.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('OLAC', 'olac.title.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('PDB', 'citation.title')","('PREMIS', 'premis.object.originalName.@value')"
"('PDB', 'citation.title')","('SDMX', 'data.structures.annotations.title')"
"('PDB', 'citation.title')","('SensorML', 'SimpleProcess.name.@value')"
"('PDB', 'citation.title')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('PREMIS', 'premis.object.originalName.@value')","('SDMX', 'data.structures.annotations.title')"
"('PREMIS', 'premis.object.originalName.@value')","('SensorML', 'SimpleProcess.name.@value')"
"('PREMIS', 'premis.object.originalName.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('SDMX', 'data.structures.annotations.title')","('SensorML', 'SimpleProcess.name.@value')"
"('SDMX', 'data.structures.annotations.title')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
"('SensorML', 'SimpleProcess.name.@value')","('TEI', 'TEI.teiHeader.fileDesc.titleStmt.title.@value')"
